row_index,born,bornCity,bornCountry,bornCountryCode,died,diedCountry,diedCountryCode,firstname,gender,id,surname
60,1891-01-08,Oranienburg,Germany,DE,1957-02-08,West Germany (now Germany),DE,Walther,male,62,Bothe
61,1913-07-12,"Los Angeles, CA",USA,US,2008-05-15,USA,US,Willis Eugene,male,63,Lamb
62,1911-01-26,Blankenburg,Germany,DE,1993-03-20,USA,US,Polykarp,male,64,Kusch
63,1910-02-13,London,United Kingdom,GB,1989-08-12,USA,US,William Bradford,male,65,Shockley
64,1908-05-23,"Madison, WI",USA,US,1991-01-30,USA,US,John,male,66,Bardeen
65,1902-02-10,Amoy,China,CN,1987-10-13,USA,US,Walter Houser,male,67,Brattain
66,1922-09-22,"Hofei, Anhwei",China,CN,0000-00-00,,,Chen Ning,male,68,Yang
67,1926-11-24,Shanghai,China,CN,0000-00-00,,,Tsung-Dao (T.D.),male,69,Lee
68,1904-07-28,Novaya Chigla,Russia,RU,1990-01-06,USSR,RU,Pavel Alekseyevich,male,70,Cherenkov
69,1895-07-08,Vladivostok,Russia,RU,1971-04-12,USSR (now Russia),RU,Igor Yevgenyevich,male,71,Tamm
70,1905-02-01,Tivoli,Italy,IT,1989-04-22,USA,US,Emilio Gino,male,72,Segrè
71,1920-07-10,"San Francisco, CA",USA,US,2006-02-28,USA,US,Owen,male,73,Chamberlain
72,1926-09-21,"Cleveland, OH",USA,US,2013-02-28,USA,US,Donald Arthur,male,74,Glaser
73,1915-02-05,"New York, NY",USA,US,1990-11-17,USA,US,Robert,male,75,Hofstadter
74,1929-01-31,Munich,Germany,DE,2011-09-14,,,Rudolf Ludwig,male,76,Mössbauer
75,1908-01-22,Baku,Russian Empire (now Azerbaijan),AZ,1968-04-01,USSR (now Russia),RU,Lev Davidovich,male,77,Landau
76,1902-11-17,Budapest,Austria-Hungary (now Hungary),HU,1995-01-01,USA,US,Eugene Paul,male,78,Wigner
77,1906-06-28,Kattowitz (now Katowice),Germany (now Poland),PL,1972-02-20,USA,US,Maria,female,79,Goeppert Mayer
78,1907-06-25,Hamburg,Germany,DE,1973-02-11,West Germany (now Germany),DE,J. Hans D.,male,80,Jensen
79,1915-07-28,"Greenville, SC",USA,US,2015-01-27,USA,US,Charles Hard,male,81,Townes
80,1922-12-14,Usman,USSR (now Russia),RU,2001-07-01,Russia,RU,Nicolay Gennadiyevich,male,82,Basov
81,1916-07-11,Atherton,Australia,AU,2002-01-08,Russia,RU,Aleksandr Mikhailovich,male,83,Prokhorov
82,1906-03-31,Kyoto,Japan,JP,1979-07-08,Japan,JP,Sin-Itiro,male,84,Tomonaga
